,links,names,ratings,price for one,crusine
110,https://www.zomato.com/bangalore/tea-brew-indiranagar/order,Tea Brew,4.0,₹100 for one,"Pasta, Sandwich, Pizza, Burger, Beverages, Tea, Momos, Bubble Tea"
111,https://www.zomato.com/bangalore/uttara-karnataka-jolada-rotati-chapati-store-basavanagudi-bangalore/order,Uttara Karnataka Jolada Rotati & Chapati Store,3.9,₹100 for one,"South Indian, Street Food"
112,https://www.zomato.com/bangalore/asha-sweets-centre-malleshwaram/order,Asha Sweets Centre,4.5,₹100 for one,"Mithai, Street Food"
113,https://www.zomato.com/bangalore/taste-of-tibet-brigade-road/order,Taste Of Tibet,4.0,₹100 for one,"Tibetan, Chinese, Momos"
114,https://www.zomato.com/bangalore/gokul-veg-basavanagudi/order,Gokul Veg,4.1,₹100 for one,"North Indian, Chinese, Beverages"
115,https://www.zomato.com/bangalore/main-lassi-shop-shivajinagar-bangalore/order,Main Lassi Shop,3.9,₹100 for one,"Beverages, Ice Cream"
116,https://www.zomato.com/bangalore/savi-sagar-seshadripuram-bangalore/order,Savi Sagar,3.9,₹100 for one,"North Indian, South Indian, Chinese, Street Food, Beverages"
117,https://www.zomato.com/bangalore/sunnys-1-lavelle-road/order,Sunny's,3.9,₹100 for one,"European, Italian, Seafood, Continental"
118,https://www.zomato.com/bangalore/samrat-restaurant-race-course-road/order,Samrat Restaurant,3.9,₹100 for one,"South Indian, North Indian, Desserts, Beverages"
119,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-koramangala-6th-block-bangalore/order,Kaati Zone Rolls And Wraps,3.9,₹100 for one,"Fast Food, Rolls"
120,https://www.zomato.com/bangalore/halli-mane-malleshwaram/order,Halli Mane,3.8,₹100 for one,"South Indian, North Indian, Chinese"
121,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Pizza Hut,3.8,₹100 for one,"Pizza, Fast Food, Desserts"
122,https://www.zomato.com/cakeszone/order,CakeZone,4.2,₹100 for one,"Bakery, Desserts, Ice Cream"
123,https://www.zomato.com/bangalore/samosa-party-brigade-road-bangalore/order,Samosa Party,4.1,₹100 for one,"Street Food, Beverages, Tea"
124,https://www.zomato.com/bangalore/noto-healthy-ice-cream-ejipura-bangalore/order,NOTO - Healthy Ice Cream,3.8,₹100 for one,"Ice Cream, Desserts"
125,https://www.zomato.com/bangalore/the-bakers-dozen-domlur-bangalore/order,The Baker's Dozen,4.2,₹100 for one,"Bakery, Desserts"
126,https://www.zomato.com/bangalore/kunafa-world-frazer-town-bangalore/order,Kunafa World,4.3,₹100 for one,Desserts
127,https://www.zomato.com/bangalore/chai-central-rt-nagar-bangalore/order,Chai Central,3.9,₹100 for one,"Beverages, Fast Food"
128,https://www.zomato.com/bangalore/momo-monk-brigade-road-bangalore/order,Momo Monk,4.1,₹100 for one,Momos
129,https://www.zomato.com/bangalore/boss-burger-lavelle-road-bangalore/order,Boss Burger,3.9,₹100 for one,"Burger, Fast Food, Desserts, Beverages"
130,https://www.zomato.com/bangalore/punjabi-unplugged-koramangala-7th-block-bangalore/order,Punjabi Unplugged,3.8,₹100 for one,"North Indian, Chinese"
131,https://www.zomato.com/bangalore/the-khichadi-factory-indiranagar-bangalore/order,The Khichadi Factory,3.7,₹100 for one,"North Indian, Beverages"
132,https://www.zomato.com/bangalore/hatti-kaapi-ulsoor/order,Hatti Kaapi,4.1,₹150 for one,"Coffee, Beverages, Fast Food"
133,https://www.zomato.com/bangalore/yumlane-pizza-cunningham-road-bangalore/order,Yumlane Pizza,3.7,₹150 for one,"Pizza, Fast Food, Desserts, Beverages"
134,https://www.zomato.com/bangalore/homese-just-veg-1-majestic-bangalore/order,HomeSe Just Veg,3.7,₹150 for one,"South Indian, North Indian"
135,https://www.zomato.com/bangalore/samrudh-veg-cunningham-road/order,Samrudh Veg,3.8,₹150 for one,"South Indian, Chinese"
136,https://www.zomato.com/bangalore/food-adda-basavanagudi-bangalore/order,Food Adda ,New,₹150 for one,"Fast Food, Pizza, Sandwich, Burger, Street Food, Pasta, Chinese, Beverages"
